 --------------------------------------------------------------------------------------------------------------------------------------- 
|   Log file for  'avsnr'. This file is generated during first encoding session, new sessions will be appended                           |
 --------------------------------------------------------------------------------------------------------------------------------------- 
|SNR a0|SNR a1|SNR a2|SNR a3|Bit a0|Bit a1|Bit a2|Bit a3|SNR b0|SNR b1|SNR b2|SNR b3|Bit b0|Bit b1|Bit b2|Bit b3|   Mode      | Output  |
 --------------------------------------------------------------------------------------------------------------------------------------- 
|  0.00|  0.00|  0.00|  0.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|  DSNR mode  |  -nan dB|
|  0.00|  0.00|  0.00|  0.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00|6648.00| Percent mode|    -nan %|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  DSNR mode  |  -nan dB|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69| Percent mode|    -nan %|
|  0.00|  0.00|  0.00|  0.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|  DSNR mode  |  -nan dB|
|  0.00|  0.00|  0.00|  0.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00| Percent mode|    -nan %|
|  0.00|  0.00|  0.00|  0.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|  DSNR mode  |  -nan dB|
|  0.00|  0.00|  0.00|  0.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00| Percent mode|    -nan %|
|  0.00|  0.00|  0.00|  0.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|  DSNR mode  |  -nan dB|
|  0.00|  0.00|  0.00|  0.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00|10709.00| Percent mode|    -nan %|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  DSNR mode  |  -nan dB|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69| Percent mode|    -nan %|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  DSNR mode  |  -nan dB|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69|  9.69| Percent mode|    -nan %|
| 35.22| 38.53| 41.70| 44.62|1465.00|2381.00|3818.00|5954.00| 35.40| 38.68| 41.86| 44.67|1483.00|2398.00|3852.00|5978.00|  DSNR mode  | 0.092 dB|
| 35.22| 38.53| 41.70| 44.62|1465.00|2381.00|3818.00|5954.00| 35.40| 38.68| 41.86| 44.67|1483.00|2398.00|3852.00|5978.00| Percent mode|   -1.36 %|
| 33.16| 36.41| 39.81| 42.84|1945.00|3456.00|5808.00|9299.00| 33.33| 36.61| 39.92| 42.88|1973.00|3489.00|5843.00|9326.00|  DSNR mode  | 0.099 dB|
| 33.16| 36.41| 39.81| 42.84|1945.00|3456.00|5808.00|9299.00| 33.33| 36.61| 39.92| 42.88|1973.00|3489.00|5843.00|9326.00| Percent mode|   -1.55 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20061.00| 30.11| 33.31| 37.20| 41.53|3075.00|6630.00|12437.00|20085.00|  DSNR mode  | 0.037 dB|
